Year,team,conference,total.games,total.wins,total.losses,firstDowns,fourthDownConversions,fourthDowns,fumblesLost,fumblesRecovered,games,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,netPassingYards,passAttempts,passCompletions,passesIntercepted,passingTDs,penalties,penaltyYards,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownConversions,thirdDowns,totalYards,turnovers,sacks,tacklesForLoss,division,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
2010,Air Force,Mountain West,13,9,4,286.0,18.0,30.0,11.0,10.0,13.0,0.0,189.0,6.0,1.0,892.0,39.0,1576.0,168.0,88.0,12.0,12.0,58.0,526.0,14679.0,0.0,164.0,27.0,748.0,41.0,3985.0,94.0,186.0,5536.0,17.0,,,,0,8,5,3,0,6,5,1,0,6,3,3,0
2010,Akron,Mid-American,12,1,11,175.0,5.0,12.0,8.0,8.0,12.0,0.0,70.0,14.0,0.0,1227.0,65.0,2069.0,349.0,174.0,8.0,12.0,65.0,546.0,12693.0,0.0,36.0,21.0,393.0,10.0,1361.0,61.0,175.0,3222.0,22.0,,,East,0,8,1,7,0,6,1,5,0,6,0,6,0
2010,Alabama,SEC,13,10,3,287.0,9.0,14.0,9.0,4.0,13.0,2.0,239.0,5.0,1.0,986.0,41.0,3562.0,362.0,253.0,22.0,24.0,66.0,490.0,15071.0,1.0,349.0,45.0,467.0,30.0,2378.0,68.0,151.0,5773.0,14.0,,,West,0,8,5,3,0,7,6,1,0,5,3,2,0
2010,Arizona,Pac-10,13,7,6,308.0,9.0,18.0,10.0,9.0,13.0,1.0,130.0,12.0,1.0,1103.0,48.0,4221.0,524.0,357.0,9.0,25.0,91.0,682.0,14285.0,0.0,129.0,41.0,435.0,20.0,1712.0,94.0,194.0,5712.0,22.0,,,,0,10,5,5,0,7,4,3,0,5,3,2,0
2010,Arizona State,Pac-10,12,6,6,255.0,8.0,14.0,6.0,6.0,12.0,1.0,154.0,17.0,3.0,1405.0,51.0,3617.0,464.0,279.0,12.0,23.0,96.0,835.0,11892.0,1.0,309.0,49.0,413.0,19.0,1671.0,72.0,180.0,5108.0,23.0,,,,0,10,4,6,0,6,4,2,0,6,2,4,0
2010,Arkansas,SEC,13,10,3,291.0,9.0,19.0,9.0,14.0,13.0,1.0,98.0,15.0,0.0,1047.0,54.0,4495.0,465.0,301.0,11.0,36.0,103.0,831.0,14331.0,1.0,311.0,39.0,421.0,22.0,1935.0,68.0,165.0,6273.0,24.0,,,West,0,8,6,2,0,6,5,1,0,4,3,1,0
2010,Arkansas State,Sun Belt,12,4,8,262.0,7.0,16.0,12.0,14.0,12.0,1.0,173.0,12.0,0.0,1198.0,55.0,3220.0,436.0,264.0,11.0,23.0,83.0,699.0,11734.0,0.0,97.0,27.0,420.0,23.0,1789.0,52.0,153.0,4841.0,24.0,,,,0,8,4,4,0,5,3,2,0,7,1,6,0
2010,Army,FBS Independents,13,7,6,239.0,14.0,19.0,11.0,16.0,13.0,1.0,241.0,3.0,0.0,954.0,51.0,1077.0,138.0,72.0,13.0,7.0,55.0,532.0,15633.0,0.0,142.0,33.0,728.0,34.0,3271.0,89.0,193.0,4286.0,14.0,,,,0,0,0,0,0,5,2,3,0,6,5,1,0
2010,Auburn,SEC,14,14,0,343.0,5.0,8.0,10.0,10.0,14.0,1.0,94.0,7.0,1.0,1482.0,63.0,3154.0,296.0,194.0,12.0,31.0,78.0,740.0,15869.0,0.0,136.0,40.0,652.0,41.0,3987.0,86.0,162.0,6989.0,17.0,,,West,0,9,9,0,0,8,8,0,0,4,4,0,0
2010,BYU,Mountain West,13,7,6,283.0,8.0,20.0,10.0,7.0,13.0,0.0,211.0,11.0,0.0,1041.0,48.0,2754.0,428.0,243.0,16.0,17.0,69.0,562.0,15396.0,0.0,217.0,37.0,518.0,23.0,2185.0,92.0,199.0,4764.0,21.0,,,,0,9,6,3,0,6,5,1,0,6,1,5,0
